sex,qimd,ethnicity,sha,smoking_status,age,total_patient_years,ageband
men,1 most deprived,other asian,Yorkshire and the Humber,never_smoker,25,1,25—29
men,1 most deprived,pakistani,East Midlands,never_smoker,25,2,25—29
men,1 most deprived,pakistani,East Midlands,smoker,25,1.9506848680872653,25—29
men,1 most deprived,pakistani,East of England,never_smoker,25,1,25—29
men,1 most deprived,pakistani,East of England,smoker,25,2,25—29
men,1 most deprived,pakistani,London,never_smoker,25,4.339725995687468,25—29
men,1 most deprived,pakistani,North East,ex_smoker,25,1,25—29
men,1 most deprived,pakistani,North East,never_smoker,25,1.8383561326737696,25—29
men,1 most deprived,pakistani,North West,never_smoker,25,5.26575336123795,25—29
men,1 most deprived,pakistani,North West,smoker,25,4,25—29
men,1 most deprived,pakistani,South Central,never_smoker,25,2,25—29
men,1 most deprived,pakistani,West Midlands,ex_smoker,25,1,25—29
men,1 most deprived,pakistani,West Midlands,never_smoker,25,7.3205479134956875,25—29
men,1 most deprived,pakistani,West Midlands,smoker,25,3.528767059868087,25—29
men,1 most deprived,pakistani,Yorkshire and the Humber,ex_smoker,25,2.1342465436326736,25—29
men,1 most deprived,pakistani,Yorkshire and the Humber,never_smoker,25,7.210958808980213,25—29
men,1 most deprived,pakistani,Yorkshire and the Humber,smoker,25,1.6602739408929477,25—29
men,1 most deprived,white,East Midlands,ex_smoker,25,11.257534183155759,25—29
men,1 most deprived,white,East Midlands,never_smoker,25,17.169862886859462,25—29
men,1 most deprived,white,East Midlands,smoker,25,14.671232623033992,25—29
men,1 most deprived,white,East of England,ex_smoker,25,3.83835613267377,25—29
men,1 most deprived,white,East of England,never_smoker,25,5.147945110350076,25—29
men,1 most deprived,white,East of England,smoker,25,10.098630010147133,25—29
men,1 most deprived,white,London,ex_smoker,25,16.476712201927956,25—29
men,1 most deprived,white,London,never_smoker,25,28.197259830035517,25—29
men,1 most deprived,white,London,smoker,25,21.15616400304414,25—29
men,1 most deprived,white,North East,ex_smoker,25,6.778082064941654,25—29
men,1 most deprived,white,North East,never_smoker,25,11.706849188229326,25—29
men,1 most deprived,white,North East,smoker,25,21.12328741755454,25—29
men,1 most deprived,white,North West,ex_smoker,25,24.84109576357179,25—29
men,1 most deprived,white,North West,never_smoker,25,34.542465214358195,25—29
men,1 most deprived,white,North West,smoker,25,52.14794466641299,25—29
men,1 most deprived,white,South Central,ex_smoker,25,3,25—29
men,1 most deprived,white,South Central,never_smoker,25,4,25—29
men,1 most deprived,white,South Central,smoker,25,6.320547818366311,25—29
men,1 most deprived,white,South East Coast,ex_smoker,25,3,25—29
men,1 most deprived,white,South East Coast,never_smoker,25,7.597260210553019,25—29
men,1 most deprived,white,South East Coast,smoker,25,16.071232623033993,25—29
men,1 most deprived,white,South West,ex_smoker,25,7.3808218543886355,25—29
men,1 most deprived,white,South West,never_smoker,25,7.539725900558093,25—29
men,1 most deprived,white,South West,smoker,25,10.668492928716388,25—29
men,1 most deprived,white,West Midlands,ex_smoker,25,16.27945189624556,25—29
men,1 most deprived,white,West Midlands,never_smoker,25,25.569862823439877,25—29
men,1 most deprived,white,West Midlands,smoker,25,17.671232623033994,25—29
men,1 most deprived,white,Yorkshire and the Humber,ex_smoker,25,10.230136732623034,25—29
men,1 most deprived,white,Yorkshire and the Humber,never_smoker,25,22.736985762303398,25—29
men,1 most deprived,white,Yorkshire and the Humber,smoker,25,35.20273912354135,25—29
men,2,bangladeshi,East Midlands,never_smoker,25,1.8575342148655505,25—29
men,2,bangladeshi,East of England,never_smoker,25,1,25—29
men,2,bangladeshi,London,ex_smoker,25,1,25—29
men,2,bangladeshi,London,never_smoker,25,5.750684899797057,25—29
men,2,bangladeshi,London,smoker,25,2.9534246258244545,25—29
men,2,bangladeshi,North East,never_smoker,25,1,25—30
men,2,bangladeshi,West Midlands,never_smoker,25,0.263013666920345,25—29
men,2,black african,East of England,never_smoker,25,2,25—29
men,2,black african,East of England,smoker,25,1,25—29
men,2,black african,London,ex_smoker,25,1,25—29
men,2,black african,London,never_smoker,25,6.6767122019279554,25—29
men,2,black african,London,smoker,25,2,25—29
men,2,black african,North West,never_smoker,25,1,25—29
men,2,black african,North West,smoker,25,1,25—30
men,2,black african,South Central,never_smoker,25,0.8876712011669203,25—29
men,2,black african,South Central,smoker,25,0.36438352993404366,25—29
men,2,black african,West Midlands,never_smoker,25,1,25—29
men,2,black african,Yorkshire and the Humber,ex_smoker,25,1,25—30
men,2,black caribbean,East Midlands,never_smoker,25,1,25—29
men,2,black caribbean,East Midlands,smoker,25,1,25—29
men,2,black caribbean,East of England,never_smoker,25,0.45205476281075596,25—29
men,2,black caribbean,East of England,smoker,25,1,25—29
men,2,black caribbean,London,ex_smoker,25,1.0356164066463724,25—29
men,2,black caribbean,London,never_smoker,25,3.0602738774733638,25—29
men,2,black caribbean,London,smoker,25,2,25—29
men,2,black caribbean,North West,never_smoker,25,1,25—29
men,2,black caribbean,South East Coast,ex_smoker,25,1,25—30
men,2,black caribbean,South East Coast,never_smoker,25,0.3863013381532217,25—29
men,2,black caribbean,West Midlands,never_smoker,25,1,25—29
men,2,black caribbean,West Midlands,smoker,25,1,25—29
men,2,chinese,London,ex_smoker,25,1,25—29
men,2,chinese,London,never_smoker,25,2,25—29
men,2,chinese,London,smoker,25,0.4547944888381532,25—29
men,2,chinese,North West,never_smoker,25,2,25—29
men,2,chinese,West Midlands,ex_smoker,25,1,25—29
men,2,chinese,West Midlands,never_smoker,25,0.8136985984271943,25—29
men,2,chinese,Yorkshire and the Humber,never_smoker,25,0.8301369545915779,25—29
men,2,chinese,Yorkshire and the Humber,smoker,25,0.9698629819888381,25—29
men,2,indian,East Midlands,ex_smoker,25,1,25—29
men,2,indian,East Midlands,never_smoker,25,1.230136954591578,25—29
men,2,indian,East of England,never_smoker,25,2.745205384322679,25—29
men,2,indian,London,ex_smoker,25,4.128767091577879,25—29
men,2,indian,London,never_smoker,25,18.08219162227296,25—29
men,2,indian,North West,never_smoker,25,1,25—29
men,2,indian,South Central,never_smoker,25,3.6383561009639775,25—29
men,2,indian,South East Coast,never_smoker,25,0.5753424340436327,25—29
men,2,indian,South East Coast,smoker,25,1,25—29
men,2,indian,South West,never_smoker,25,1,25—29
men,2,indian,West Midlands,never_smoker,25,2,25—29
men,2,indian,West Midlands,smoker,25,1.6876711694571283,25—29
men,2,indian,Yorkshire and the Humber,never_smoker,25,0.18630133815322172,25—29
men,2,other,East Midlands,ex_smoker,25,1,25—29
men,2,other,East Midlands,never_smoker,25,1.7917807902080163,25—29
men,2,other,East Midlands,smoker,25,1,25—30
men,2,other,London,ex_smoker,25,3.210958872399797,25—29
men,2,other,London,never_smoker,25,11,25—29
men,2,other,London,smoker,25,10.402739694317605,25—29
men,2,other,North East,ex_smoker,25,1,25—29
men,2,other,North West,never_smoker,25,1,25—29
men,2,other,North West,smoker,25,2,25—29
men,2,other,South Central,ex_smoker,25,0.38356161212582446,25—29
men,2,other,South Central,never_smoker,25,1,25—29
men,2,other,South Central,smoker,25,2,25—29
men,2,other,South East Coast,never_smoker,25,2,25—29
men,2,other,South East Coast,smoker,25,1,25—29
men,2,other,South West,ex_smoker,25,1,25—29
men,2,other,West Midlands,ex_smoker,25,1,25—29
men,2,other,West Midlands,never_smoker,25,1.6657533929477424,25—29
men,2,other,West Midlands,smoker,25,0.40273969431760526,25—29
men,2,other,Yorkshire and the Humber,never_smoker,25,0.21917805048198885,25—29
men,2,other,Yorkshire and the Humber,smoker,25,1,25—29
men,2,other asian,East Midlands,ex_smoker,25,2,25—29
men,2,other asian,East Midlands,never_smoker,25,0.049315036783358704,25—29
men,2,other asian,East of England,never_smoker,25,1,25—29
men,2,other asian,London,ex_smoker,25,2,25—29
men,2,other asian,London,never_smoker,25,6.323287607813293,25—29
men,2,other asian,London,smoker,25,3.558904077879249,25—29
men,2,other asian,North East,never_smoker,25,1,25—29
men,2,other asian,North West,ex_smoker,25,1,25—29
men,2,other asian,South Central,never_smoker,25,1,25—29
men,2,other asian,West Midlands,ex_smoker,25,0.1671232559614409,25—29
men,2,pakistani,East Midlands,smoker,25,1,25—29
men,2,pakistani,East of England,ex_smoker,25,0.6931506532217149,25—29
men,2,pakistani,London,never_smoker,25,4.975342370624048,25—29
men,2,pakistani,London,smoker,25,4,25—29
men,2,pakistani,North East,never_smoker,25,1,25—29
men,2,pakistani,North West,never_smoker,25,1.1287670915778794,25—29
men,2,pakistani,South Central,ex_smoker,25,1,25—29
men,2,pakistani,South Central,never_smoker,25,2,25—29
men,2,pakistani,South Central,smoker,25,0.48493147513952306,25—29
men,2,pakistani,South East Coast,never_smoker,25,1,25—29
men,2,pakistani,South West,never_smoker,25,0.18356161212582445,25—29
men,2,pakistani,South West,smoker,25,0.15890407787924912,25—29
men,2,pakistani,West Midlands,never_smoker,25,0.14520544774226282,25—29
men,2,pakistani,Yorkshire and the Humber,smoker,25,1,25—29
men,2,white,East Midlands,ex_smoker,25,7.517808155758498,25—29
men,2,white,East Midlands,never_smoker,25,13.293150526382547,25—29
men,2,white,East Midlands,smoker,25,9.873972412480974,25—29
men,2,white,East of England,ex_smoker,25,13.635616311516996,25—29
men,2,white,East of England,never_smoker,25,11.610958682141044,25—29
men,2,white,East of England,smoker,25,26.005479325215628,25—29
men,2,white,London,ex_smoker,25,21.446574866818874,25—29
men,2,white,London,never_smoker,25,59.109588375190256,25—29
men,2,white,London,smoker,25,44.07397187341451,25—29
men,2,white,North East,ex_smoker,25,7.191780726788433,25—29
men,2,white,North East,never_smoker,25,12.575342116945713,25—29
men,2,white,North East,smoker,25,10.726027270421106,25—29
men,2,white,North West,ex_smoker,25,20.630136732623033,25—29
men,2,white,North West,never_smoker,25,20.835616248097413,25—29
men,2,white,North West,smoker,25,20.419177701674275,25—29
men,2,white,South Central,ex_smoker,25,7.487671169457128,25—29
men,2,white,South Central,never_smoker,25,11.65753405631659,25—29
men,2,white,South Central,smoker,25,13.178082064941654,25—29
men,2,white,South East Coast,ex_smoker,25,7.443835489599188,25—29
men,2,white,South East Coast,never_smoker,25,13.556164066463724,25—29
men,2,white,South East Coast,smoker,25,11.172602612886859,25—29
men,2,white,South West,ex_smoker,25,12.416438165905632,25—29
men,2,white,South West,never_smoker,25,20.638356069254186,25—29
men,2,white,South West,smoker,25,26.619177987062404,25—29
men,2,white,West Midlands,ex_smoker,25,13.301369704464738,25—29
men,2,white,West Midlands,never_smoker,25,19.717807965499745,25—29
men,2,white,West Midlands,smoker,25,17.304109398782344,25—29
men,2,white,Yorkshire and the Humber,ex_smoker,25,6.605479356925419,25—29
men,2,white,Yorkshire and the Humber,never_smoker,25,12.17260229578894,25—29
men,2,white,Yorkshire and the Humber,smoker,25,13.843835457889396,25—29
men,3,bangladeshi,London,smoker,25,2,25—29
men,3,bangladeshi,North West,never_smoker,25,1,25—29
men,3,bangladeshi,South Central,ex_smoker,25,1,25—29
men,3,black african,East of England,ex_smoker,25,2,25—29
men,3,black african,East of England,never_smoker,25,2,25—29
men,3,black african,London,ex_smoker,25,0.7013697995941146,25—29
men,3,black african,London,never_smoker,25,4.0410958587011665,25—29
men,3,black african,London,smoker,25,1,25—29
men,3,black african,North East,never_smoker,25,1,25—29
men,3,black african,South Central,never_smoker,25,1,25—29
men,3,black african,South East Coast,never_smoker,25,2,25—29
men,3,black caribbean,East Midlands,never_smoker,25,1,25—29
men,3,black caribbean,East of England,smoker,25,1,25—29
men,3,black caribbean,London,ex_smoker,25,1.9424657217148655,25—29
men,3,black caribbean,London,never_smoker,25,1,25—29
men,3,black caribbean,West Midlands,never_smoker,25,0.7945205162354135,25—29
men,3,chinese,East Midlands,never_smoker,25,1,25—29
men,3,chinese,East of England,never_smoker,25,0.7287670915778792,25—29
men,3,chinese,London,never_smoker,25,2,25—29
men,3,chinese,North East,ex_smoker,25,1,25—29
men,3,chinese,North West,smoker,25,1,25—29
men,3,chinese,Yorkshire and the Humber,ex_smoker,25,0.999999968290208,25—29
men,3,chinese,Yorkshire and the Humber,never_smoker,25,0.463013666920345,25—29
men,3,indian,East Midlands,never_smoker,25,0.8465753107559615,25—29
men,3,indian,East of England,never_smoker,25,1.706849283358701,25—29
men,3,indian,London,ex_smoker,25,1,25—29
men,3,indian,London,never_smoker,25,9.528767059868088,25—29
men,3,indian,London,smoker,25,1.515068461440893,25—29
men,3,indian,North West,never_smoker,25,2,25—29
men,3,indian,South Central,ex_smoker,25,1,25—29
men,3,indian,South West,never_smoker,25,2.2712328132927446,25—29
men,3,indian,West Midlands,never_smoker,25,1.369862950279046,25—29
men,3,indian,West Midlands,smoker,25,1,25—29
men,3,other,East Midlands,never_smoker,25,0.1972602105530188,25—29
men,3,other,East of England,never_smoker,25,0.027397228564180618,25—29
men,3,other,London,ex_smoker,25,2,25—29
men,3,other,London,never_smoker,25,6.227397196854389,25—29
men,3,other,South Central,ex_smoker,25,0.5287670915778793,25—29
men,3,other,South Central,smoker,25,1,25—29
men,3,other,South West,ex_smoker,25,2,25—29
men,3,other,South West,never_smoker,25,0.6986301052765094,25—29
men,3,other,Yorkshire and the Humber,ex_smoker,25,0.04383558472856418,25—29
men,3,other asian,East Midlands,never_smoker,25,1,25—29
men,3,other asian,East of England,never_smoker,25,0.8849314751395231,25—29
men,3,other asian,London,never_smoker,25,3.547945078640284,25—29
men,3,other asian,London,smoker,25,1.9095890093860985,25—29
men,3,other asian,South Central,smoker,25,0.10136983130390664,25—29
men,3,other asian,South East Coast,ex_smoker,25,1,25—29
men,3,other asian,South East Coast,never_smoker,25,0.6767122970573313,25—29
men,3,pakistani,East Midlands,never_smoker,25,1,25—29
men,3,pakistani,London,ex_smoker,25,0.6602739408929478,25—29
men,3,pakistani,London,never_smoker,25,1.3506848997970573,25—29
men,3,pakistani,South Central,never_smoker,25,0.3315068176052765,25—29
men,3,pakistani,South Central,smoker,25,1,25—29
men,3,pakistani,West Midlands,never_smoker,25,3,25—29
men,3,pakistani,Yorkshire and the Humber,never_smoker,25,0.9150684614408929,25—29
men,3,white,East Midlands,ex_smoker,25,6.010958872399797,25—29
men,3,white,East Midlands,never_smoker,25,17.989040969051242,25—29
men,3,white,East Midlands,smoker,25,9.060273845763572,25—29
men,3,white,East of England,ex_smoker,25,13.002739535768645,25—29
men,3,white,East of England,never_smoker,25,19.34794485667174,25—29
men,3,white,East of England,smoker,25,11.041095700152207,25—29
men,3,white,London,ex_smoker,25,22.441095636732623,25—29
men,3,white,London,never_smoker,25,27.364383181126332,25—29
men,3,white,London,smoker,25,26.493150367833586,25—29
men,3,white,North East,ex_smoker,25,2.6602739408929477,25—29
men,3,white,North East,never_smoker,25,6.452054699391172,25—29
men,3,white,North East,smoker,25,5,25—29
men,3,white,North West,ex_smoker,25,12.890410895484525,25—29
men,3,white,North West,never_smoker,25,18.04657496194825,25—29
men,3,white,North West,smoker,25,15.101369704464739,25—29
men,3,white,South Central,ex_smoker,25,13.70410933536276,25—29
men,3,white,South Central,never_smoker,25,5.542465626585489,25—29
men,3,white,South Central,smoker,25,11.323287480974125,25—29
men,3,white,South East Coast,ex_smoker,25,9.268493055555556,25—29
men,3,white,South East Coast,never_smoker,25,13.71506823947235,25—29
men,3,white,South East Coast,smoker,25,10.287671010908168,25—29
men,3,white,South West,ex_smoker,25,11.553424530695079,25—29
men,3,white,South West,never_smoker,25,25.002739377219687,25—29
men,3,white,South West,smoker,25,14.402739535768646,25—29
men,3,white,West Midlands,ex_smoker,25,5.594520452815829,25—29
men,3,white,West Midlands,never_smoker,25,15.687670852359208,25—29
men,3,white,West Midlands,smoker,25,12.282191590563166,25—29
men,3,white,Yorkshire and the Humber,ex_smoker,25,11.676712170218163,25—29
men,3,white,Yorkshire and the Humber,never_smoker,25,17.038355910705224,25—29
men,3,white,Yorkshire and the Humber,smoker,25,14.032876553779808,25—29
men,4,bangladeshi,London,ex_smoker,25,2,25—29
men,4,bangladeshi,London,smoker,25,1,25—29
men,4,bangladeshi,North West,never_smoker,25,1,25—30
men,4,black african,East of England,never_smoker,25,2.465753392947742,25—29
men,4,black african,London,never_smoker,25,2.5397259956874683,25—29
men,4,black african,South Central,ex_smoker,25,1,25—30
men,4,black african,South Central,never_smoker,25,1,25—29
men,4,black african,South West,never_smoker,25,1,25—29
men,4,black caribbean,London,never_smoker,25,0.9726027080162354,25—29
men,4,black caribbean,North West,ex_smoker,25,1,25—29
men,4,chinese,East Midlands,never_smoker,25,1,25—29
men,4,chinese,London,never_smoker,25,2,25—29
men,4,chinese,South Central,never_smoker,25,2,25—29
men,4,indian,East Midlands,ex_smoker,25,1,25—29
men,4,indian,East Midlands,never_smoker,25,3.2356164066463724,25—29
men,4,indian,East of England,never_smoker,25,1,25—29
men,4,indian,London,ex_smoker,25,1.2767122970573312,25—29
men,4,indian,London,never_smoker,25,4.9232876395230845,25—29
men,4,indian,South Central,never_smoker,25,1,25—29
men,4,indian,South West,smoker,25,0.8657533929477422,25—29
men,4,other,London,ex_smoker,25,1,25—29
men,4,other,London,never_smoker,25,1,25—29
men,4,other,London,smoker,25,0.4082191463723998,25—29
men,4,other,North West,never_smoker,25,2.17808216007103,25—29
men,4,other,South West,never_smoker,25,1,25—29
men,4,other asian,East of England,never_smoker,25,1,25—29
men,4,other asian,London,ex_smoker,25,1.4136985984271944,25—29
men,4,other asian,London,never_smoker,25,3.128767028158295,25—29
men,4,other asian,London,smoker,25,0.15616435185185185,25—29
men,4,other asian,North West,never_smoker,25,1,25—29
men,4,other asian,South Central,never_smoker,25,2,25—29
men,4,other asian,South East Coast,never_smoker,25,1,25—29
men,4,other asian,South West,never_smoker,25,1,25—29
men,4,other asian,West Midlands,ex_smoker,25,1,25—29
men,4,other asian,West Midlands,never_smoker,25,0.47945202308472856,25—29
men,4,pakistani,London,never_smoker,25,1.232876680618975,25—29
men,4,pakistani,North West,ex_smoker,25,1,25—29
men,4,pakistani,North West,never_smoker,25,0.2986301052765094,25—29
men,4,pakistani,South Central,ex_smoker,25,1,25—29
men,4,pakistani,South Central,never_smoker,25,1,25—29
men,4,pakistani,Yorkshire and the Humber,ex_smoker,25,0.3671232559614409,25—29
men,4,white,East Midlands,ex_smoker,25,10.775342434043633,25—29
men,4,white,East Midlands,never_smoker,25,15.42191768138001,25—29
men,4,white,East Midlands,smoker,25,6.613698598427194,25—29
men,4,white,East of England,ex_smoker,25,11.323287576103501,25—29
men,4,white,East of England,never_smoker,25,24.799999873160832,25—29
men,4,white,East of England,smoker,25,9.9178081557584985,25—29
men,4,white,London,ex_smoker,25,15.263013413242009,25—29
men,4,white,London,never_smoker,25,26.564383403094876,25—29
men,4,white,London,smoker,25,21.295890125570775,25—29
men,4,white,North East,ex_smoker,25,4,25—29
men,4,white,North East,never_smoker,25,5,25—29
men,4,white,North East,smoker,25,3.2904109271943174,25—29
men,4,white,North West,ex_smoker,25,7.767123160832065,25—29
men,4,white,North West,never_smoker,25,18.01369837645865,25—29
men,4,white,North West,smoker,25,11.134246543632674,25—29
men,4,white,South Central,ex_smoker,25,7.980821886098427,25—29
men,4,white,South Central,never_smoker,25,9.380821759259259,25—29
men,4,white,South Central,smoker,25,7.386301306443429,25—29
men,4,white,South East Coast,ex_smoker,25,12.424657375697615,25—29
men,4,white,South East Coast,never_smoker,25,26.013698344748857,25—29
men,4,white,South East Coast,smoker,25,9.695890284119736,25—29
men,4,white,South West,ex_smoker,25,9.345205384322679,25—29
men,4,white,South West,never_smoker,25,20.29588999873161,25—29
men,4,white,South West,smoker,25,11.397259956874683,25—29
men,4,white,West Midlands,ex_smoker,25,11.9315067224759,25—29
men,4,white,West Midlands,never_smoker,25,21.3726024543379,25—29
men,4,white,West Midlands,smoker,25,12.915068398021308,25—29
men,4,white,Yorkshire and the Humber,ex_smoker,25,9.764383371385083,25—29
men,4,white,Yorkshire and the Humber,never_smoker,25,16.3808216007103,25—29
men,4,white,Yorkshire and the Humber,smoker,25,10.90136973617453,25—29
men,5 least deprived,black african,East of England,never_smoker,25,1.5917807902080163,25—29
men,5 least deprived,black african,Yorkshire and the Humber,never_smoker,25,1,25—29
men,5 least deprived,black caribbean,East Midlands,never_smoker,25,0.4821917491121258,25—29
men,5 least deprived,black caribbean,East of England,never_smoker,25,1,25—29
men,5 least deprived,black caribbean,South West,never_smoker,25,0.05753421486555048,25—29
men,5 least deprived,chinese,London,never_smoker,25,1,25—29
men,5 least deprived,chinese,South East Coast,ex_smoker,25,1,25—30
men,5 least deprived,chinese,West Midlands,never_smoker,25,1,25—29
men,5 least deprived,indian,East Midlands,ex_smoker,25,1,25—29
men,5 least deprived,indian,East Midlands,never_smoker,25,2,25—29
men,5 least deprived,indian,East of England,ex_smoker,25,1,25—29
men,5 least deprived,indian,East of England,never_smoker,25,2,25—29
men,5 least deprived,indian,London,never_smoker,25,0.21917805048198885,25—29
men,5 least deprived,indian,London,smoker,25,1,25—29
men,5 least deprived,indian,North East,never_smoker,25,1,25—29
men,5 least deprived,indian,North West,never_smoker,25,0.0219177765093861,25—29
men,5 least deprived,indian,South Central,never_smoker,25,1,25—29
men,5 least deprived,indian,Yorkshire and the Humber,ex_smoker,25,0.4904109271943176,25—29
men,5 least deprived,other,East Midlands,ex_smoker,25,1,25—29
men,5 least deprived,other,East Midlands,never_smoker,25,1,25—29
men,5 least deprived,other,East of England,ex_smoker,25,1,25—29
men,5 least deprived,other,East of England,never_smoker,25,1,25—29
men,5 least deprived,other,London,ex_smoker,25,3.517808155758498,25—29
men,5 least deprived,other,London,never_smoker,25,2,25—29
men,5 least deprived,other,London,smoker,25,1,25—29
men,5 least deprived,other,South Central,never_smoker,25,2,25—29
men,5 least deprived,other,South East Coast,never_smoker,25,1,25—29
men,5 least deprived,other,West Midlands,ex_smoker,25,1,25—29
men,5 least deprived,other,Yorkshire and the Humber,never_smoker,25,1.4904109271943176,25—29
men,5 least deprived,other,Yorkshire and the Humber,smoker,25,0.44383558472856416,25—29
men,5 least deprived,other asian,East of England,ex_smoker,25,1,25—29
men,5 least deprived,other asian,London,never_smoker,25,1,25—29
men,5 least deprived,other asian,London,smoker,25,1,25—29
men,5 least deprived,other asian,North West,smoker,25,0.999999968290208,25—29
men,5 least deprived,other asian,South Central,never_smoker,25,0.2712328450025368,25—29
men,5 least deprived,other asian,South Central,smoker,25,0.5068492833587012,25—29
men,5 least deprived,other asian,Yorkshire and the Humber,never_smoker,25,1,25—29
men,5 least deprived,pakistani,London,never_smoker,25,0.41917805048198886,25—29
men,5 least deprived,pakistani,South West,never_smoker,25,1,25—29
